,s1,2hr,4hr,6hr
s1,1.0,0.5393454802720777,0.46020564722927737,0.3675261424617464
2hr,0.5393454802720777,1.0,0.9020621317963253,0.671860316586344
4hr,0.46020564722927737,0.9020621317963253,1.0,0.7700169974999806
6hr,0.3675261424617464,0.671860316586344,0.7700169974999806,1.0
,s1,2hr,4hr,6hr
count,97144.0,87856.0,83975.0,67068.0
mean,0.3923661242329106,0.295577886062532,0.25146405575856917,0.27866384009919165
std,0.05732314083654786,0.07953248193842562,0.07273772937776768,0.09525970773483411
min,0.0,0.0,0.0,0.0
25%,0.36266944469979245,0.2507012706393844,0.2077419106405547,0.21951437565335843
50%,0.37407952963722413,0.28106355174287023,0.23588255249148266,0.26343124948859825
75%,0.40093418795941504,0.32914902971489407,0.28491566961787307,0.3219532104837712
max,1.0,1.0,1.0,1.0
,s1,0hr,1hr,2hr,3hr,4hr,5hr,6hr,7hr,8hr,9hr,10hr,11hr,12hr,13hr,14hr,15hr,16hr,17hr,18hr,19hr,20hr,21hr,22hr,23hr,24hr
count,97144.0,0.0,96338.0,94614.0,92805.0,91027.0,89314.0,87856.0,86838.0,86175.0,85701.0,85260.0,84820.0,83975.0,82928.0,81888.0,80580.0,79218.0,78291.0,77197.0,76064.0,75022.0,73670.0,70748.0,68586.0,67068.0
mean,0.3923661242329106,,0.41327339940528224,0.3850982561591843,0.30031671575496105,0.2670099844422892,0.2857636764239961,0.295577886062532,0.28753296152228436,0.2692079337892353,0.25530309826089126,0.24991612164716703,0.250940089887401,0.25146405575856917,0.24703838047928975,0.24177102301630674,0.24456697789967724,0.25312578203277236,0.26574982782282647,0.28205726628225053,0.29734845767578477,0.30624427298362716,0.30976474112552527,0.30884954631480294,0.2945543905699287,0.27866384009919165
std,0.05732314083654786,,0.07315227525336927,0.07089526474113463,0.07531048656891155,0.07628038327129023,0.07834858272791541,0.07953248193842562,0.07706096796806249,0.07278294060216677,0.07102208036271655,0.07065922679104049,0.0713901122918769,0.07273772937776768,0.07453883086790974,0.07702106297294342,0.07920119901146222,0.08066167233231544,0.08157570950004142,0.0826206275196024,0.08358708617357541,0.0849275641249792,0.08646230374586064,0.08788624363641961,0.09166172191392762,0.09525970773483411
min,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.36266944469979245,,0.37515564864887313,0.34842919666908284,0.26000919787969395,0.22506985771695043,0.24183863512104445,0.2507012706393844,0.2432519629345934,0.22636314930899595,0.2125622105526595,0.2068778435977005,0.20780837415962872,0.2077419106405547,0.20184662030538159,0.19438063164112757,0.1956927560660785,0.20317164521754494,0.21533324811246918,0.231689156624955,0.24774038783226396,0.25596577434131457,0.25805449754971327,0.25414563878227814,0.237129806350333,0.21951437565335843
50%,0.37407952963722413,,0.3932213374020914,0.36848401929743735,0.2837201921667932,0.251414148085648,0.27088836421561857,0.28106355174287023,0.27354608241379397,0.2559185023017811,0.24190493658640524,0.23577156224489426,0.2359346448110337,0.23588255249148266,0.23054797988005338,0.22505375388892085,0.22746656344601746,0.23618784966785905,0.24891860171934968,0.2662699794345918,0.2828413266559232,0.29209049721594005,0.29571713148879414,0.2938119863719582,0.2791648833887771,0.26343124948859825
75%,0.40093418795941504,,0.43012052704707393,0.40580014985692336,0.32555766891440585,0.2953944501422631,0.3170774998797358,0.32914902971489407,0.3209178354647242,0.3015274337178244,0.28754592058917067,0.2826879449436872,0.28387192471899325,0.28491566961787307,0.28115389296500665,0.27721313267165204,0.28121714943678916,0.29039685655678127,0.30362711592593217,0.3210544318786868,0.3376299942169492,0.34753184647855606,0.35144717695899785,0.3499321954077858,0.3369453566056426,0.3219532104837712
max,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
